"Event_ID","Company_name","Country","Currency","Ticker","Stock_exchange","Market_index","Event_date","Event_start","Event_end","Estimation_start","Estimation_end","Estimation_dates","FX_weighted","FX_weighted_pct_change","Market_return","World_return","Stock_return","Relative_trading_day"
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-23,85.4941539932071,0.209932109727471,0.00166361023297457,0.00125530803096822,-0.0163935192586915,-36
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-26,85.5780727811714,0.0981573406421667,0.00860879670971071,-0.00247447541121282,-0.00833326732370034,-35
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-27,85.5589586516367,-0.0223353119712321,0.0025294583092748,0.00183114387859731,0,-34
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-28,85.7444035226463,0.216745123984734,-0.000847282637446675,-0.00277320911917603,-0.00840350722670428,-33
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-29,85.6928442119528,-0.0601314005057102,-0.00130573387111229,0.00438205764091203,0.0423729787490684,-32
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-01,85.5072459369198,-0.216585499921056,0.00587621637336885,0.00804267050221747,-0.016260239671767,-31
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-04,85.5437834122036,0.0427302679246014,-0.00185746880982583,-0.000523180461587782,0,-30
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-05,85.7375386376872,0.226498312039788,0.000248691177510148,-0.00745922409793366,0,-29
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-06,85.3454109401428,-0.457358239780418,-0.00171826718969655,0.0059421071556995,0.00826460737197126,-28
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-07,84.9260980961005,-0.491312701436765,0.00245730842419245,0.0101965129891601,0.00847454545813417,-27
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-08,84.4908337623493,-0.512521290285382,0.00364842397953881,-0.00327901723843066,0.00840333104717495,-26
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-11,84.1776118711167,-0.370717008324965,0.000680745004620305,-0.00386374528865667,-0.00833330353882163,-25
